user_id,user_type,profile,requests_sent,requests_succeeded,requests_failed,requests_rate_limited,success_rate,rate_limited_rate,avg_response_time,anomalous
std_user_2,STD,standard_heavy,85,27,0,58,0.3176470588235294,0.6823529411764706,1.0903496658100802,False
anom_user_4,STD,anomalous_burst,442,442,0,0,1.0,0.0,0.9546691222428196,True
anom_user_0,STD,anomalous_heavy,331,331,0,0,1.0,0.0,0.46264473117010113,True
std_user_3,STD,standard_medium,41,25,0,16,0.6097560975609756,0.3902439024390244,0.8286372626700053,False
anom_user_1,STD,anomalous_heavy,380,380,0,0,1.0,0.0,0.4408791510682357,True
std_user_6,STD,standard_heavy,135,135,0,0,1.0,0.0,0.3899240264186153,False
std_user_9,STD,standard_light,13,13,0,0,1.0,0.0,0.7126938379727877,False
std_user_18,STD,standard_heavy,142,142,0,0,1.0,0.0,0.7195631651811196,False
std_user_12,STD,standard_medium,44,44,0,0,1.0,0.0,0.5854357210072604,False
std_user_14,STD,standard_heavy,154,154,0,0,1.0,0.0,0.9659494362868272,False
std_user_7,STD,standard_heavy,179,179,0,0,1.0,0.0,0.6102772917827415,False
std_user_1,STD,standard_medium,56,2,0,54,0.03571428571428571,0.9642857142857143,0.9284790073122297,False
prm_user_1,PRM,premium_heavy,358,15,0,343,0.04189944134078212,0.9581005586592178,0.41935527324676514,False
prm_user_0,PRM,premium_light,56,56,0,0,1.0,0.0,0.5262038026537214,False
anom_user_2,PRM,anomalous_heavy,398,398,0,0,1.0,0.0,0.4998541615117135,True
std_user_4,STD,standard_medium,39,25,0,14,0.6410256410256411,0.358974358974359,0.9487775289095365,False
prm_user_3,PRM,premium_heavy,292,70,0,222,0.23972602739726026,0.7602739726027398,0.8069930027609002,False
std_user_8,STD,standard_light,10,10,0,0,1.0,0.0,0.5176716327667237,False
std_user_11,STD,standard_medium,79,79,0,0,1.0,0.0,0.7738097347790682,False
prm_user_5,PRM,premium_heavy,308,308,0,0,1.0,0.0,0.510506133754532,False
anom_user_3,PRM,anomalous_scanner,551,551,0,0,1.0,0.0,0.4571892509875843,True
prm_user_7,PRM,premium_heavy,326,326,0,0,1.0,0.0,0.42802489169536195,False
prm_user_4,PRM,premium_heavy,351,351,0,0,1.0,0.0,0.5029321593097132,False
std_user_5,STD,standard_medium,54,20,0,34,0.37037037037037035,0.6296296296296297,0.9319127621474089,False
prm_user_8,PRM,premium_light,53,53,0,0,1.0,0.0,0.5441850761197647,False
std_user_17,STD,standard_heavy,133,133,0,0,1.0,0.0,0.9934564981245457,False
prm_user_9,PRM,premium_light,17,17,0,0,1.0,0.0,0.737254493376788,False
std_user_0,STD,standard_medium,61,61,0,0,1.0,0.0,1.0984224999537233,False
std_user_10,STD,standard_light,12,12,0,0,1.0,0.0,0.9647119641304016,False
std_user_13,STD,standard_heavy,151,151,0,0,1.0,0.0,0.534839638021608,False
prm_user_2,PRM,premium_light,24,15,0,9,0.625,0.375,0.9613302648067474,False
std_user_16,STD,standard_light,15,15,0,0,1.0,0.0,0.2726006984710693,False
std_user_19,STD,standard_medium,38,38,0,0,1.0,0.0,0.6000727728793496,False
std_user_15,STD,standard_light,17,17,0,0,1.0,0.0,0.609736723058364,False
prm_user_6,PRM,premium_light,60,60,0,0,1.0,0.0,0.8041662534077962,False
