user_id,user_type,profile,requests_sent,requests_succeeded,requests_failed,requests_rate_limited,success_rate,rate_limited_rate,avg_response_time,anomalous
std_user_2,STD,standard_heavy,140,37,0,103,0.2642857142857143,0.7357142857142858,0.1848745312009539,False
prm_user_1,PRM,premium_heavy,253,12,0,241,0.04743083003952569,0.9525691699604744,0.07821170426168932,False
prm_user_0,PRM,premium_heavy,404,404,0,0,1.0,0.0,0.05025277102347648,False
std_user_0,STD,standard_medium,26,26,0,0,1.0,0.0,0.08146297014676608,False
std_user_4,STD,standard_medium,49,37,0,12,0.7551020408163265,0.24489795918367346,0.24899592691538286,False
anom_user_0,STD,anomalous_heavy,366,366,0,0,1.0,0.0,0.044746325967090377,True
std_user_3,STD,standard_medium,66,37,0,29,0.5606060606060606,0.4393939393939394,0.0982374855966279,False
std_user_1,STD,standard_medium,61,3,0,58,0.04918032786885246,0.9508196721311475,0.039984273128822204,False
